source,partition,round,constraint,satisfaction_rate
real,train,0,0,0.9754337072372437
real,train,0,1,1.0
real,train,0,2,1.0
real,train,0,3,1.0
real,train,0,4,1.0
real,train,0,5,0.9214891791343689
real,train,0,6,0.9879701137542725
real,train,0,7,0.9792326092720032
real,train,0,8,0.986323893070221
real,train,0,9,0.9931619763374329
real,train,0,10,1.0
real,train,0,11,1.0
real,val,0,0,0.9749287962913513
real,val,0,1,1.0
real,val,0,2,1.0
real,val,0,3,1.0
real,val,0,4,1.0
real,val,0,5,0.9139600992202759
real,val,0,6,0.9834758043289185
real,val,0,7,0.9720797538757324
real,val,0,8,0.981766402721405
real,val,0,9,0.9925925731658936
real,val,0,10,1.0
real,val,0,11,1.0
real,test,0,0,0.9636363387107849
real,test,0,1,1.0
real,test,0,2,1.0
real,test,0,3,1.0
real,test,0,4,1.0
real,test,0,5,0.9318181872367859
real,test,0,6,0.9954545497894287
real,test,0,7,0.9727272987365723
real,test,0,8,0.9772727489471436
real,test,0,9,0.9954545497894287
real,test,0,10,1.0
real,test,0,11,1.0
constrained,train,0,0,1.0
constrained,train,0,1,1.0
constrained,train,0,2,1.0
constrained,train,0,3,1.0
constrained,train,0,4,1.0
constrained,train,0,5,1.0
constrained,train,0,6,1.0
constrained,train,0,7,1.0
constrained,train,0,8,1.0
constrained,train,0,9,1.0
constrained,train,0,10,1.0
constrained,train,0,11,1.0
constrained,train,1,0,1.0
constrained,train,1,1,1.0
constrained,train,1,2,1.0
constrained,train,1,3,1.0
constrained,train,1,4,1.0
constrained,train,1,5,1.0
constrained,train,1,6,1.0
constrained,train,1,7,1.0
constrained,train,1,8,1.0
constrained,train,1,9,1.0
constrained,train,1,10,1.0
constrained,train,1,11,1.0
constrained,train,2,0,1.0
constrained,train,2,1,1.0
constrained,train,2,2,1.0
constrained,train,2,3,1.0
constrained,train,2,4,1.0
constrained,train,2,5,1.0
constrained,train,2,6,1.0
constrained,train,2,7,1.0
constrained,train,2,8,1.0
constrained,train,2,9,1.0
constrained,train,2,10,1.0
constrained,train,2,11,1.0
constrained,train,3,0,1.0
constrained,train,3,1,1.0
constrained,train,3,2,1.0
constrained,train,3,3,1.0
constrained,train,3,4,1.0
constrained,train,3,5,1.0
constrained,train,3,6,1.0
constrained,train,3,7,1.0
constrained,train,3,8,1.0
constrained,train,3,9,1.0
constrained,train,3,10,1.0
constrained,train,3,11,1.0
constrained,train,4,0,1.0
constrained,train,4,1,1.0
constrained,train,4,2,1.0
constrained,train,4,3,1.0
constrained,train,4,4,1.0
constrained,train,4,5,1.0
constrained,train,4,6,1.0
constrained,train,4,7,1.0
constrained,train,4,8,1.0
constrained,train,4,9,1.0
constrained,train,4,10,1.0
constrained,train,4,11,1.0
constrained,val,0,0,1.0
constrained,val,0,1,1.0
constrained,val,0,2,1.0
constrained,val,0,3,1.0
constrained,val,0,4,1.0
constrained,val,0,5,1.0
constrained,val,0,6,1.0
constrained,val,0,7,1.0
constrained,val,0,8,1.0
constrained,val,0,9,1.0
constrained,val,0,10,1.0
constrained,val,0,11,1.0
constrained,val,1,0,1.0
constrained,val,1,1,1.0
constrained,val,1,2,1.0
constrained,val,1,3,1.0
constrained,val,1,4,1.0
constrained,val,1,5,1.0
constrained,val,1,6,1.0
constrained,val,1,7,1.0
constrained,val,1,8,1.0
constrained,val,1,9,1.0
constrained,val,1,10,1.0
constrained,val,1,11,1.0
constrained,val,2,0,1.0
constrained,val,2,1,1.0
constrained,val,2,2,1.0
constrained,val,2,3,1.0
constrained,val,2,4,1.0
constrained,val,2,5,1.0
constrained,val,2,6,1.0
constrained,val,2,7,1.0
constrained,val,2,8,1.0
constrained,val,2,9,1.0
constrained,val,2,10,1.0
constrained,val,2,11,1.0
constrained,val,3,0,1.0
constrained,val,3,1,1.0
constrained,val,3,2,1.0
constrained,val,3,3,1.0
constrained,val,3,4,1.0
constrained,val,3,5,1.0
constrained,val,3,6,1.0
constrained,val,3,7,1.0
constrained,val,3,8,1.0
constrained,val,3,9,1.0
constrained,val,3,10,1.0
constrained,val,3,11,1.0
constrained,val,4,0,1.0
constrained,val,4,1,1.0
constrained,val,4,2,1.0
constrained,val,4,3,1.0
constrained,val,4,4,1.0
constrained,val,4,5,1.0
constrained,val,4,6,1.0
constrained,val,4,7,1.0
constrained,val,4,8,1.0
constrained,val,4,9,1.0
constrained,val,4,10,1.0
constrained,val,4,11,1.0
constrained,test,0,0,1.0
constrained,test,0,1,1.0
constrained,test,0,2,1.0
constrained,test,0,3,1.0
constrained,test,0,4,1.0
constrained,test,0,5,1.0
constrained,test,0,6,1.0
constrained,test,0,7,1.0
constrained,test,0,8,1.0
constrained,test,0,9,1.0
constrained,test,0,10,1.0
constrained,test,0,11,1.0
constrained,test,1,0,1.0
constrained,test,1,1,1.0
constrained,test,1,2,1.0
constrained,test,1,3,1.0
constrained,test,1,4,1.0
constrained,test,1,5,1.0
constrained,test,1,6,1.0
constrained,test,1,7,1.0
constrained,test,1,8,1.0
constrained,test,1,9,1.0
constrained,test,1,10,1.0
constrained,test,1,11,1.0
constrained,test,2,0,1.0
constrained,test,2,1,1.0
constrained,test,2,2,1.0
constrained,test,2,3,1.0
constrained,test,2,4,1.0
constrained,test,2,5,1.0
constrained,test,2,6,1.0
constrained,test,2,7,1.0
constrained,test,2,8,1.0
constrained,test,2,9,1.0
constrained,test,2,10,1.0
constrained,test,2,11,1.0
constrained,test,3,0,1.0
constrained,test,3,1,1.0
constrained,test,3,2,1.0
constrained,test,3,3,1.0
constrained,test,3,4,1.0
constrained,test,3,5,1.0
constrained,test,3,6,1.0
constrained,test,3,7,1.0
constrained,test,3,8,1.0
constrained,test,3,9,1.0
constrained,test,3,10,1.0
constrained,test,3,11,1.0
constrained,test,4,0,1.0
constrained,test,4,1,1.0
constrained,test,4,2,1.0
constrained,test,4,3,1.0
constrained,test,4,4,1.0
constrained,test,4,5,1.0
constrained,test,4,6,1.0
constrained,test,4,7,1.0
constrained,test,4,8,1.0
constrained,test,4,9,1.0
constrained,test,4,10,1.0
constrained,test,4,11,1.0
unconstrained,train,0,0,0.8228441476821899
unconstrained,train,0,1,0.4525769352912903
unconstrained,train,0,2,0.9761934876441956
unconstrained,train,0,3,1.0
unconstrained,train,0,4,0.9249082207679749
unconstrained,train,0,5,0.432822585105896
unconstrained,train,0,6,0.8232240080833435
unconstrained,train,0,7,0.8181588053703308
unconstrained,train,0,8,0.8336076736450195
unconstrained,train,0,9,0.8425984382629395
unconstrained,train,0,10,0.7457262277603149
unconstrained,train,0,11,0.9787260890007019
unconstrained,train,1,0,0.822210967540741
unconstrained,train,1,1,0.46321389079093933
unconstrained,train,1,2,0.9765734076499939
unconstrained,train,1,3,1.0
unconstrained,train,1,4,0.91794353723526
unconstrained,train,1,5,0.43687477707862854
unconstrained,train,1,6,0.8230974078178406
unconstrained,train,1,7,0.813979983329773
unconstrained,train,1,8,0.8333544135093689
unconstrained,train,1,9,0.8384196758270264
unconstrained,train,1,10,0.7482588291168213
unconstrained,train,1,11,0.978599488735199
unconstrained,train,2,0,0.822210967540741
unconstrained,train,2,1,0.46321389079093933
unconstrained,train,2,2,0.9765734076499939
unconstrained,train,2,3,1.0
unconstrained,train,2,4,0.91794353723526
unconstrained,train,2,5,0.43687477707862854
unconstrained,train,2,6,0.8230974078178406
unconstrained,train,2,7,0.813979983329773
unconstrained,train,2,8,0.8333544135093689
unconstrained,train,2,9,0.8384196758270264
unconstrained,train,2,10,0.7482588291168213
unconstrained,train,2,11,0.978599488735199
unconstrained,train,3,0,0.822210967540741
unconstrained,train,3,1,0.46321389079093933
unconstrained,train,3,2,0.9765734076499939
unconstrained,train,3,3,1.0
unconstrained,train,3,4,0.91794353723526
unconstrained,train,3,5,0.43687477707862854
unconstrained,train,3,6,0.8230974078178406
unconstrained,train,3,7,0.813979983329773
unconstrained,train,3,8,0.8333544135093689
unconstrained,train,3,9,0.8384196758270264
unconstrained,train,3,10,0.7482588291168213
unconstrained,train,3,11,0.978599488735199
unconstrained,train,4,0,0.822210967540741
unconstrained,train,4,1,0.46321389079093933
unconstrained,train,4,2,0.9765734076499939
unconstrained,train,4,3,1.0
unconstrained,train,4,4,0.91794353723526
unconstrained,train,4,5,0.43687477707862854
unconstrained,train,4,6,0.8230974078178406
unconstrained,train,4,7,0.813979983329773
unconstrained,train,4,8,0.8333544135093689
unconstrained,train,4,9,0.8384196758270264
unconstrained,train,4,10,0.7482588291168213
unconstrained,train,4,11,0.978599488735199
unconstrained,val,0,0,0.8142449855804443
unconstrained,val,0,1,0.4632478654384613
unconstrained,val,0,2,0.9777777791023254
unconstrained,val,0,3,1.0
unconstrained,val,0,4,0.9179487228393555
unconstrained,val,0,5,0.43874645233154297
unconstrained,val,0,6,0.8199430108070374
unconstrained,val,0,7,0.8079771995544434
unconstrained,val,0,8,0.833048403263092
unconstrained,val,0,9,0.8370370268821716
unconstrained,val,0,10,0.7242165207862854
unconstrained,val,0,11,0.9772079586982727
unconstrained,val,1,0,0.8142449855804443
unconstrained,val,1,1,0.4632478654384613
unconstrained,val,1,2,0.9777777791023254
unconstrained,val,1,3,1.0
unconstrained,val,1,4,0.9179487228393555
unconstrained,val,1,5,0.43874645233154297
unconstrained,val,1,6,0.8199430108070374
unconstrained,val,1,7,0.8079771995544434
unconstrained,val,1,8,0.833048403263092
unconstrained,val,1,9,0.8370370268821716
unconstrained,val,1,10,0.7242165207862854
unconstrained,val,1,11,0.9772079586982727
unconstrained,val,2,0,0.8142449855804443
unconstrained,val,2,1,0.4632478654384613
unconstrained,val,2,2,0.9777777791023254
unconstrained,val,2,3,1.0
unconstrained,val,2,4,0.9179487228393555
unconstrained,val,2,5,0.43874645233154297
unconstrained,val,2,6,0.8199430108070374
unconstrained,val,2,7,0.8079771995544434
unconstrained,val,2,8,0.833048403263092
unconstrained,val,2,9,0.8370370268821716
unconstrained,val,2,10,0.7242165207862854
unconstrained,val,2,11,0.9772079586982727
unconstrained,val,3,0,0.8142449855804443
unconstrained,val,3,1,0.4632478654384613
unconstrained,val,3,2,0.9777777791023254
unconstrained,val,3,3,1.0
unconstrained,val,3,4,0.9179487228393555
unconstrained,val,3,5,0.43874645233154297
unconstrained,val,3,6,0.8199430108070374
unconstrained,val,3,7,0.8079771995544434
unconstrained,val,3,8,0.833048403263092
unconstrained,val,3,9,0.8370370268821716
unconstrained,val,3,10,0.7242165207862854
unconstrained,val,3,11,0.9772079586982727
unconstrained,val,4,0,0.8142449855804443
unconstrained,val,4,1,0.4632478654384613
unconstrained,val,4,2,0.9777777791023254
unconstrained,val,4,3,1.0
unconstrained,val,4,4,0.9179487228393555
unconstrained,val,4,5,0.43874645233154297
unconstrained,val,4,6,0.8199430108070374
unconstrained,val,4,7,0.8079771995544434
unconstrained,val,4,8,0.833048403263092
unconstrained,val,4,9,0.8370370268821716
unconstrained,val,4,10,0.7242165207862854
unconstrained,val,4,11,0.9772079586982727
unconstrained,test,0,0,0.8500000238418579
unconstrained,test,0,1,0.44999998807907104
unconstrained,test,0,2,0.9772727489471436
unconstrained,test,0,3,1.0
unconstrained,test,0,4,0.9454545378684998
unconstrained,test,0,5,0.5045454502105713
unconstrained,test,0,6,0.800000011920929
unconstrained,test,0,7,0.8363636136054993
unconstrained,test,0,8,0.831818163394928
unconstrained,test,0,9,0.8409090638160706
unconstrained,test,0,10,0.75
unconstrained,test,0,11,0.9818181991577148
unconstrained,test,1,0,0.8500000238418579
unconstrained,test,1,1,0.44999998807907104
unconstrained,test,1,2,0.9772727489471436
unconstrained,test,1,3,1.0
unconstrained,test,1,4,0.9454545378684998
unconstrained,test,1,5,0.5045454502105713
unconstrained,test,1,6,0.800000011920929
unconstrained,test,1,7,0.8363636136054993
unconstrained,test,1,8,0.831818163394928
unconstrained,test,1,9,0.8409090638160706
unconstrained,test,1,10,0.75
unconstrained,test,1,11,0.9818181991577148
unconstrained,test,2,0,0.8500000238418579
unconstrained,test,2,1,0.44999998807907104
unconstrained,test,2,2,0.9772727489471436
unconstrained,test,2,3,1.0
unconstrained,test,2,4,0.9454545378684998
unconstrained,test,2,5,0.5045454502105713
unconstrained,test,2,6,0.800000011920929
unconstrained,test,2,7,0.8363636136054993
unconstrained,test,2,8,0.831818163394928
unconstrained,test,2,9,0.8409090638160706
unconstrained,test,2,10,0.75
unconstrained,test,2,11,0.9818181991577148
unconstrained,test,3,0,0.8500000238418579
unconstrained,test,3,1,0.44999998807907104
unconstrained,test,3,2,0.9772727489471436
unconstrained,test,3,3,1.0
unconstrained,test,3,4,0.9454545378684998
unconstrained,test,3,5,0.5045454502105713
unconstrained,test,3,6,0.800000011920929
unconstrained,test,3,7,0.8363636136054993
unconstrained,test,3,8,0.831818163394928
unconstrained,test,3,9,0.8409090638160706
unconstrained,test,3,10,0.75
unconstrained,test,3,11,0.9818181991577148
unconstrained,test,4,0,0.8500000238418579
unconstrained,test,4,1,0.44999998807907104
unconstrained,test,4,2,0.9772727489471436
unconstrained,test,4,3,1.0
unconstrained,test,4,4,0.9454545378684998
unconstrained,test,4,5,0.5045454502105713
unconstrained,test,4,6,0.800000011920929
unconstrained,test,4,7,0.8363636136054993
unconstrained,test,4,8,0.831818163394928
unconstrained,test,4,9,0.8409090638160706
unconstrained,test,4,10,0.75
unconstrained,test,4,11,0.9818181991577148
