source,partition,round,num_rows,mean_constraint_satisfaction,all_constraints_satisfaction,constraints_violated_at_least_once
real,train,0,7897,0.9869676232337952,0.9100924134254456,0.5
real,val,0,1755,0.9849002957344055,0.9071224927902222,0.5
real,test,0,220,0.9863635897636414,0.9090909361839294,0.5
constrained,train,0,7897,1.0,1.0,0.0
constrained,train,1,7897,1.0,1.0,0.0
constrained,train,2,7897,1.0,1.0,0.0
constrained,train,3,7897,1.0,1.0,0.0
constrained,train,4,7897,1.0,1.0,0.0
constrained,val,0,1755,1.0,1.0,0.0
constrained,val,1,1755,1.0,1.0,0.0
constrained,val,2,1755,1.0,1.0,0.0
constrained,val,3,1755,1.0,1.0,0.0
constrained,val,4,1755,1.0,1.0,0.0
constrained,test,0,220,1.0,1.0,0.0
constrained,test,1,220,1.0,1.0,0.0
constrained,test,2,220,1.0,1.0,0.0
constrained,test,3,220,1.0,1.0,0.0
constrained,test,4,220,1.0,1.0,0.0
unconstrained,train,0,7897,0.8042822480201721,0.1327086240053177,0.9166666865348816
unconstrained,train,1,7897,0.8043771386146545,0.1305559128522873,0.9166666865348816
unconstrained,train,2,7897,0.8043771386146545,0.1305559128522873,0.9166666865348816
unconstrained,train,3,7897,0.8043771386146545,0.1305559128522873,0.9166666865348816
unconstrained,train,4,7897,0.8043771386146545,0.1305559128522873,0.9166666865348816
unconstrained,val,0,1755,0.80094975233078,0.1299145370721817,0.9166666865348816
unconstrained,val,1,1755,0.80094975233078,0.1299145370721817,0.9166666865348816
unconstrained,val,2,1755,0.80094975233078,0.1299145370721817,0.9166666865348816
unconstrained,val,3,1755,0.80094975233078,0.1299145370721817,0.9166666865348816
unconstrained,val,4,1755,0.80094975233078,0.1299145370721817,0.9166666865348816
unconstrained,test,0,220,0.8140151500701904,0.13181817531585693,0.9166666865348816
unconstrained,test,1,220,0.8140151500701904,0.13181817531585693,0.9166666865348816
unconstrained,test,2,220,0.8140151500701904,0.13181817531585693,0.9166666865348816
unconstrained,test,3,220,0.8140151500701904,0.13181817531585693,0.9166666865348816
unconstrained,test,4,220,0.8140151500701904,0.13181817531585693,0.9166666865348816
