source,partition,round,constraint,satisfaction_rate
real,train,0,0,0.9754337072372437
real,train,0,1,1.0
real,train,0,2,1.0
real,train,0,3,1.0
real,train,0,4,1.0
real,train,0,5,0.9214891791343689
real,train,0,6,0.9879701137542725
real,train,0,7,0.9792326092720032
real,train,0,8,0.986323893070221
real,train,0,9,0.9931619763374329
real,train,0,10,1.0
real,train,0,11,1.0
real,val,0,0,0.9749287962913513
real,val,0,1,1.0
real,val,0,2,1.0
real,val,0,3,1.0
real,val,0,4,1.0
real,val,0,5,0.9139600992202759
real,val,0,6,0.9834758043289185
real,val,0,7,0.9720797538757324
real,val,0,8,0.981766402721405
real,val,0,9,0.9925925731658936
real,val,0,10,1.0
real,val,0,11,1.0
real,test,0,0,0.9636363387107849
real,test,0,1,1.0
real,test,0,2,1.0
real,test,0,3,1.0
real,test,0,4,1.0
real,test,0,5,0.9318181872367859
real,test,0,6,0.9954545497894287
real,test,0,7,0.9727272987365723
real,test,0,8,0.9772727489471436
real,test,0,9,0.9954545497894287
real,test,0,10,1.0
real,test,0,11,1.0
unconstrained,train,0,0,0.9734076261520386
unconstrained,train,0,1,0.6173230409622192
unconstrained,train,0,2,1.0
unconstrained,train,0,3,1.0
unconstrained,train,0,4,0.9288337230682373
unconstrained,train,0,5,0.40812966227531433
unconstrained,train,0,6,0.9575788378715515
unconstrained,train,0,7,0.9108521938323975
unconstrained,train,0,8,0.9544130563735962
unconstrained,train,0,9,0.9741674065589905
unconstrained,train,0,10,0.5207040905952454
unconstrained,train,0,11,0.9984804391860962
unconstrained,train,1,0,0.9682157635688782
unconstrained,train,1,1,0.6290996670722961
unconstrained,train,1,2,0.999366819858551
unconstrained,train,1,3,1.0
unconstrained,train,1,4,0.9260478615760803
unconstrained,train,1,5,0.41192859411239624
unconstrained,train,1,6,0.9552994966506958
unconstrained,train,1,7,0.9137647151947021
unconstrained,train,1,8,0.9530201554298401
unconstrained,train,1,9,0.9715081453323364
unconstrained,train,1,10,0.5327339768409729
unconstrained,train,1,11,0.9988602995872498
unconstrained,train,2,0,0.9682157635688782
unconstrained,train,2,1,0.6290996670722961
unconstrained,train,2,2,0.999366819858551
unconstrained,train,2,3,1.0
unconstrained,train,2,4,0.9260478615760803
unconstrained,train,2,5,0.41192859411239624
unconstrained,train,2,6,0.9552994966506958
unconstrained,train,2,7,0.9137647151947021
unconstrained,train,2,8,0.9530201554298401
unconstrained,train,2,9,0.9715081453323364
unconstrained,train,2,10,0.5327339768409729
unconstrained,train,2,11,0.9988602995872498
unconstrained,train,3,0,0.9682157635688782
unconstrained,train,3,1,0.6290996670722961
unconstrained,train,3,2,0.999366819858551
unconstrained,train,3,3,1.0
unconstrained,train,3,4,0.9260478615760803
unconstrained,train,3,5,0.41192859411239624
unconstrained,train,3,6,0.9552994966506958
unconstrained,train,3,7,0.9137647151947021
unconstrained,train,3,8,0.9530201554298401
unconstrained,train,3,9,0.9715081453323364
unconstrained,train,3,10,0.5327339768409729
unconstrained,train,3,11,0.9988602995872498
unconstrained,train,4,0,0.9682157635688782
unconstrained,train,4,1,0.6290996670722961
unconstrained,train,4,2,0.999366819858551
unconstrained,train,4,3,1.0
unconstrained,train,4,4,0.9260478615760803
unconstrained,train,4,5,0.41192859411239624
unconstrained,train,4,6,0.9552994966506958
unconstrained,train,4,7,0.9137647151947021
unconstrained,train,4,8,0.9530201554298401
unconstrained,train,4,9,0.9715081453323364
unconstrained,train,4,10,0.5327339768409729
unconstrained,train,4,11,0.9988602995872498
unconstrained,val,0,0,0.9709401726722717
unconstrained,val,0,1,0.6096866130828857
unconstrained,val,0,2,0.9994301795959473
unconstrained,val,0,3,1.0
unconstrained,val,0,4,0.9276353120803833
unconstrained,val,0,5,0.40740740299224854
unconstrained,val,0,6,0.9544159770011902
unconstrained,val,0,7,0.9014245271682739
unconstrained,val,0,8,0.9515669345855713
unconstrained,val,0,9,0.9680911898612976
unconstrained,val,0,10,0.5321937203407288
unconstrained,val,0,11,0.9988604187965393
unconstrained,val,1,0,0.9709401726722717
unconstrained,val,1,1,0.6096866130828857
unconstrained,val,1,2,0.9994301795959473
unconstrained,val,1,3,1.0
unconstrained,val,1,4,0.9276353120803833
unconstrained,val,1,5,0.40740740299224854
unconstrained,val,1,6,0.9544159770011902
unconstrained,val,1,7,0.9014245271682739
unconstrained,val,1,8,0.9515669345855713
unconstrained,val,1,9,0.9680911898612976
unconstrained,val,1,10,0.5321937203407288
unconstrained,val,1,11,0.9988604187965393
unconstrained,val,2,0,0.9709401726722717
unconstrained,val,2,1,0.6096866130828857
unconstrained,val,2,2,0.9994301795959473
unconstrained,val,2,3,1.0
unconstrained,val,2,4,0.9276353120803833
unconstrained,val,2,5,0.40740740299224854
unconstrained,val,2,6,0.9544159770011902
unconstrained,val,2,7,0.9014245271682739
unconstrained,val,2,8,0.9515669345855713
unconstrained,val,2,9,0.9680911898612976
unconstrained,val,2,10,0.5321937203407288
unconstrained,val,2,11,0.9988604187965393
unconstrained,val,3,0,0.9709401726722717
unconstrained,val,3,1,0.6096866130828857
unconstrained,val,3,2,0.9994301795959473
unconstrained,val,3,3,1.0
unconstrained,val,3,4,0.9276353120803833
unconstrained,val,3,5,0.40740740299224854
unconstrained,val,3,6,0.9544159770011902
unconstrained,val,3,7,0.9014245271682739
unconstrained,val,3,8,0.9515669345855713
unconstrained,val,3,9,0.9680911898612976
unconstrained,val,3,10,0.5321937203407288
unconstrained,val,3,11,0.9988604187965393
unconstrained,val,4,0,0.9709401726722717
unconstrained,val,4,1,0.6096866130828857
unconstrained,val,4,2,0.9994301795959473
unconstrained,val,4,3,1.0
unconstrained,val,4,4,0.9276353120803833
unconstrained,val,4,5,0.40740740299224854
unconstrained,val,4,6,0.9544159770011902
unconstrained,val,4,7,0.9014245271682739
unconstrained,val,4,8,0.9515669345855713
unconstrained,val,4,9,0.9680911898612976
unconstrained,val,4,10,0.5321937203407288
unconstrained,val,4,11,0.9988604187965393
unconstrained,test,0,0,0.9863636493682861
unconstrained,test,0,1,0.6409090757369995
unconstrained,test,0,2,1.0
unconstrained,test,0,3,1.0
unconstrained,test,0,4,0.9090909361839294
unconstrained,test,0,5,0.41363635659217834
unconstrained,test,0,6,0.9681817889213562
unconstrained,test,0,7,0.8999999761581421
unconstrained,test,0,8,0.9590908885002136
unconstrained,test,0,9,0.9772727489471436
unconstrained,test,0,10,0.5772727131843567
unconstrained,test,0,11,0.9954545497894287
unconstrained,test,1,0,0.9863636493682861
unconstrained,test,1,1,0.6409090757369995
unconstrained,test,1,2,1.0
unconstrained,test,1,3,1.0
unconstrained,test,1,4,0.9090909361839294
unconstrained,test,1,5,0.41363635659217834
unconstrained,test,1,6,0.9681817889213562
unconstrained,test,1,7,0.8999999761581421
unconstrained,test,1,8,0.9590908885002136
unconstrained,test,1,9,0.9772727489471436
unconstrained,test,1,10,0.5772727131843567
unconstrained,test,1,11,0.9954545497894287
unconstrained,test,2,0,0.9863636493682861
unconstrained,test,2,1,0.6409090757369995
unconstrained,test,2,2,1.0
unconstrained,test,2,3,1.0
unconstrained,test,2,4,0.9090909361839294
unconstrained,test,2,5,0.41363635659217834
unconstrained,test,2,6,0.9681817889213562
unconstrained,test,2,7,0.8999999761581421
unconstrained,test,2,8,0.9590908885002136
unconstrained,test,2,9,0.9772727489471436
unconstrained,test,2,10,0.5772727131843567
unconstrained,test,2,11,0.9954545497894287
unconstrained,test,3,0,0.9863636493682861
unconstrained,test,3,1,0.6409090757369995
unconstrained,test,3,2,1.0
unconstrained,test,3,3,1.0
unconstrained,test,3,4,0.9090909361839294
unconstrained,test,3,5,0.41363635659217834
unconstrained,test,3,6,0.9681817889213562
unconstrained,test,3,7,0.8999999761581421
unconstrained,test,3,8,0.9590908885002136
unconstrained,test,3,9,0.9772727489471436
unconstrained,test,3,10,0.5772727131843567
unconstrained,test,3,11,0.9954545497894287
unconstrained,test,4,0,0.9863636493682861
unconstrained,test,4,1,0.6409090757369995
unconstrained,test,4,2,1.0
unconstrained,test,4,3,1.0
unconstrained,test,4,4,0.9090909361839294
unconstrained,test,4,5,0.41363635659217834
unconstrained,test,4,6,0.9681817889213562
unconstrained,test,4,7,0.8999999761581421
unconstrained,test,4,8,0.9590908885002136
unconstrained,test,4,9,0.9772727489471436
unconstrained,test,4,10,0.5772727131843567
unconstrained,test,4,11,0.9954545497894287
