source,partition,round,num_rows,mean_constraint_satisfaction,all_constraints_satisfaction,constraints_violated_at_least_once
real,train,0,7897,0.9869676232337952,0.9100924134254456,0.5
real,val,0,1755,0.9849002957344055,0.9071224927902222,0.5
real,test,0,220,0.9863635897636414,0.9090909361839294,0.5
unconstrained,train,0,7897,0.8536574840545654,0.17335696518421173,0.8333333134651184
unconstrained,train,1,7897,0.8549871444702148,0.17791566252708435,0.9166666865348816
unconstrained,train,2,7897,0.8549871444702148,0.17791566252708435,0.9166666865348816
unconstrained,train,3,7897,0.8549871444702148,0.17791566252708435,0.9166666865348816
unconstrained,train,4,7897,0.8549871444702148,0.17791566252708435,0.9166666865348816
unconstrained,val,0,1755,0.8518043160438538,0.1766381710767746,0.9166666865348816
unconstrained,val,1,1755,0.8518043160438538,0.1766381710767746,0.9166666865348816
unconstrained,val,2,1755,0.8518043160438538,0.1766381710767746,0.9166666865348816
unconstrained,val,3,1755,0.8518043160438538,0.1766381710767746,0.9166666865348816
unconstrained,val,4,1755,0.8518043160438538,0.1766381710767746,0.9166666865348816
unconstrained,test,0,220,0.8606060147285461,0.19545455276966095,0.8333333134651184
unconstrained,test,1,220,0.8606060147285461,0.19545455276966095,0.8333333134651184
unconstrained,test,2,220,0.8606060147285461,0.19545455276966095,0.8333333134651184
unconstrained,test,3,220,0.8606060147285461,0.19545455276966095,0.8333333134651184
unconstrained,test,4,220,0.8606060147285461,0.19545455276966095,0.8333333134651184
